Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-app-kolok (linux);SRV-APP-KOLOK;SRVP0122;Serveur Virtuel;Applications KOLOK (protocole);Linux Centos 5 (32b);VLAN72 SI;172.16.20.143;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL102;KOLOK
srv-prd-pegaphp;SRV-PRD-PEGAPHP;SRVP0014;Serveur Virtuel;serveur PHP pour application Pegase TA;Linux Centos 6 (64b);DMZ;192.168.222.13;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL124;PEGASE
srv-prd-alfresco;SRV-PRD-ALFRESCO;SRVP0153;Serveur Virtuel;frontalapplication GED alfresco;Linux Centos 6 (64b);VLAN72 SI;172.16.20.156;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL011;ALFRESCO (GED Transverse)
srv-tst-sieau;SRV-TST-SIEAU;SRVR0006;Serveur Virtuel;;Linux Centos 6 (64b);DMZ;192.168.222.3;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Non;TST;;;
srv-tst-alfresc0;SRV-TST-ALFRESC0;SRVR0120;Serveur Virtuel;;Linux Centos 6 (64b);VLAN72 SI;172.16.20.155;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-dev-ii01;SRV-DEV-II01;SRVD0100;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.26;172.17.0.1;10.1.83.1;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;DEV;;;
srv-dev-sql01;SRV-DEV-SQL01;SRVD0101;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.34;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;DEV;;;
srv-prd-web04;SRV-PRD-WEB04;SRVP0004;Serveur Virtuel;Solatis - a décommissionner ?;Linux Centos 7 (64b);DMZ;192.168.222.192;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;SOLATIS?
srv-prd-web05;SRV-PRD-WEB05;SRVP0005;Serveur Virtuel;Solatis - a décommissionner ?;Linux Centos 7 (64b);DMZ;192.168.222.193;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;SOLATIS?
srv-filebox;SRV-FILEBOX;SRVP0009;Serveur Virtuel;Applicatif PEC - recuperation infos et fichiers RSA;Linux Centos 7 (64b);DMZ;192.168.222.20;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;à rattacher à SOLIS RSA?
srv-filebox-rec;SRV-FILEBOX-REC;SRVP0010;Serveur Virtuel;;Linux Centos 7 (64b);DMZ;192.168.222.19;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;TST;;;
srv-prd-wifi;SRV-PRD-WIFI;SRVP0018;Serveur Virtuel; serveur gestion des bornes wifi;Linux Centos 7 (64b);DMZ;192.168.222.145;10.100.100.2;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;à créer;Ucopia
srv-prod-services1;SRV-PROD-SERVICES1;SRVP0019;Serveur Virtuel;Web1 serveur CAPDEMAT;Linux Centos 7 (64b);DMZ;192.168.222.32;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL038;CAPDEMAT
